34.82984293,-12.11047693
35.17015707,-13.83078706
35.5104712,-15.16858353
36.02094241,-16.69713615
36.61649215,-17.74729637
37.29712042,-19.65786199
37.89267016,-20.89927903
38.7434555,-21.85305982
39.93455497,-22.61458244
41.29581152,-22.61057706
42.48691099,-22.22455869
43.5078534,-21.45652734
44.44371728,-20.68874632
45.20942408,-19.92146597
45.89005236,-19.15443596
46.7408377,-18.48253369
47.59162304,-18.00188825
48.27225131,-17.23485824
49.29319372,-16.46682688
50.14397906,-15.89055303
50.9947644,-15.12302234
51.84554974,-14.73800532
52.86649215,-13.77871713
53.71727749,-13.01118645
54.39790576,-12.6266701
55.2486911,-11.85913942
56.26963351,-11.09110806
57.88612565,-10.0344391
59.2473822,-8.596007496
60.35340314,-7.636468973
61.37434555,-6.58155237
62.82068063,-5.334127257
64.09685864,-4.374088061
64.94764398,-3.510928962
65.88350785,-2.838776357
66.9895288,-1.879237834
67.7552356,-0.82507224
69.28664921,0.326974795
70.56282723,1.573899236
71.4986911,2.341680256
72.34947644,3.013582525
73.28534031,3.68573513
74.30628272,4.358138071
75.4973822,5.1266701
76.68848168,5.799573713
77.87958115,6.281220496
79.15575916,6.6674892
80.34685864,6.957879152
81.87827225,7.344898864
82.98429319,7.730666896
83.92015707,7.924677424
85.11125654,8.406324207
86.13219895,8.983098733
86.81282723,9.271986668
87.4934555,9.752131434
88.51439791,10.32890596
89.62041885,11.28844448
90.55628272,12.24748233
91.66230366,13.20702086
92.51308901,14.07017996
93.53403141,14.93383973
94.38481675,15.41448517
95.15052356,15.70362344
96.34162304,15.89838497
97.61780105,15.04148428
98.46858639,14.27896032
99.4895288,13.3256802
